Run,Type,Flag,StartTime,StopTime,Length,Channels,Trigger,T1,T2,Events,LG,HG,Ped,Vbias,Size,PedRun,MIPRun,TrgRate,Note
1,ptrg,good,2025-05-16 20:45,2025-05-16 20:45,0,375,0,0.001,0.001,2552.0,58,63,100,43.0,39.0,-1.0,-1.0,0.0,
2,mip,good,2025-05-16 22:02,2025-05-16 23:32,90,575,-2,0.001,0.001,93892.0,58,63,100,43.0,284.0,1.0,2.0,0.0,
3,mip,good,2025-05-16 23:33,2025-05-17 01:03,90,575,-2,0.001,0.001,91104.0,58,63,100,43.0,281.0,1.0,2.0,0.0,
4,mip,good,2025-05-17 01:04,2025-05-17 02:34,90,575,-2,0.001,0.001,102314.0,58,63,100,43.0,300.0,1.0,2.0,0.0,
5,mip,good,2025-05-17 02:34,2025-05-17 04:04,90,575,-2,0.001,0.001,98482.0,58,63,100,43.0,304.0,1.0,2.0,0.0,
6,mip,good,2025-05-17 04:05,2025-05-17 05:35,90,575,-2,0.001,0.001,113490.0,58,63,100,43.0,325.0,1.0,2.0,0.0,
7,mip,good,2025-05-17 05:35,2025-05-17 07:05,90,575,-2,0.001,0.001,132101.0,58,63,100,43.0,631.0,1.0,2.0,0.0,
8,mip,good,2025-05-17 07:06,2025-05-17 08:36,90,575,-2,0.001,0.001,144113.0,58,63,100,43.0,410.0,1.0,2.0,0.0,
9,mip,good,2025-05-17 08:36,2025-05-17 10:06,90,575,-2,0.001,0.001,132179.0,58,63,100,43.0,402.0,1.0,2.0,0.0,
10,mip,good,2025-05-17 10:07,2025-05-17 11:37,90,575,-2,0.001,0.001,138400.0,58,63,100,43.0,383.0,1.0,2.0,0.0,
11,mip,good,2025-05-17 11:37,2025-05-17 13:07,90,575,-2,0.001,0.001,122494.0,58,63,100,43.0,482.0,1.0,2.0,0.0,
12,mip,good,2025-05-17 13:08,2025-05-17 14:38,90,575,-2,0.001,0.001,118890.0,58,63,100,43.0,329.0,1.0,2.0,0.0,
13,mip,good,2025-05-17 14:38,2025-05-17 16:08,90,575,-2,0.001,0.001,104450.0,58,63,100,43.0,316.0,1.0,2.0,0.0,
14,mip,good,2025-05-17 16:09,2025-05-17 16:29,19,575,-2,0.001,0.001,18889.0,58,63,100,43.0,63.0,1.0,2.0,0.0,
15,mip,good,2025-05-17 17:18,2025-05-17 18:48,90,575,-2,0.001,0.001,71123.0,58,63,100,43.0,250.0,1.0,2.0,0.0,
16,mip,good,2025-05-17 18:48,2025-05-17 20:18,90,575,-2,0.001,0.001,87414.0,58,63,100,43.0,306.0,1.0,2.0,0.0,
17,mip,good,2025-05-17 20:19,2025-05-17 21:49,90,575,-2,0.001,0.001,91324.0,58,63,100,43.0,436.0,1.0,2.0,0.0,
18,mip,good,2025-05-17 21:49,2025-05-17 23:19,90,575,-2,0.001,0.001,92235.0,58,63,100,43.0,532.0,1.0,2.0,0.0,
19,mip,good,2025-05-17 23:20,2025-05-18 00:50,90,575,-2,0.001,0.001,97722.0,58,63,100,43.0,398.0,1.0,2.0,0.0,
20,mip,good,2025-05-18 00:50,2025-05-18 02:20,90,575,-2,0.001,0.001,104302.0,58,63,100,43.0,324.0,1.0,2.0,0.0,
21,mip,good,2025-05-18 02:21,2025-05-18 03:51,90,575,-2,0.001,0.001,109343.0,58,63,100,43.0,339.0,1.0,2.0,0.0,
22,mip,good,2025-05-18 03:52,2025-05-18 05:22,90,575,-2,0.001,0.001,156838.0,58,63,100,43.0,418.0,1.0,2.0,0.0,
23,mip,good,2025-05-18 05:22,2025-05-18 06:52,90,575,-2,0.001,0.001,164215.0,58,63,100,43.0,705.0,1.0,2.0,0.0,
24,mip,good,2025-05-18 06:52,2025-05-18 08:22,90,575,-2,0.001,0.001,119993.0,58,63,100,43.0,1118.0,1.0,2.0,0.0,
25,mip,good,2025-05-18 08:23,2025-05-18 09:53,90,575,-2,0.001,0.001,91283.0,58,63,100,43.0,1254.0,1.0,2.0,0.0,
26,mip,good,2025-05-18 09:53,2025-05-18 11:23,90,575,-2,0.001,0.001,99848.0,58,63,100,43.0,1365.0,1.0,2.0,0.0,
27,mip,good,2025-05-18 11:24,2025-05-18 12:54,90,575,-2,0.001,0.001,86198.0,58,63,100,43.0,1219.0,1.0,2.0,0.0,
28,mip,good,2025-05-18 12:54,2025-05-18 14:24,90,575,-2,0.001,0.001,77659.0,58,63,100,43.0,727.0,1.0,2.0,0.0,
